"Provincia","Codigo_especie","Especie","Parametro","F.c.","Modelo","a","b","c","d","p","q","r"
1,207,"Acacia melanoxylon","VCC",2,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,207,"Acacia melanoxylon","VSC",2,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,207,"Acacia melanoxylon","IAVC",2,21,"-","-","0.0004584","-0.00000043441","-","-","-"
1,207,"Acacia melanoxylon","VLE",2,12,"-","-","-","-","0.0016601","1.77360","-"
1,207,"Acacia melanoxylon","VCC",3,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,207,"Acacia melanoxylon","VSC",3,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,207,"Acacia melanoxylon","IAVC",3,21,"-","-","0.0004584","-0.00000043441","-","-","-"
1,207,"Acacia melanoxylon","VLE",3,12,"-","-","-","-","0.0016601","1.77360","-"
1,207,"Acacia melanoxylon","VCC",5,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,207,"Acacia melanoxylon","VSC",5,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,207,"Acacia melanoxylon","IAVC",5,21,"-","-","0.0004584","-0.00000043441","-","-","-"
1,207,"Acacia melanoxylon","VLE",5,12,"-","-","-","-","0.0016601","1.77360","-"
1,307,"Acacia dealbata","VCC",3,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,307,"Acacia dealbata","VSC",3,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,307,"Acacia dealbata","IAVC",3,21,"-","-","0.0004584","-0.00000043441","-","-","-"
1,307,"Acacia dealbata","VLE",3,12,"-","-","-","-","0.0016601","1.77360","-"
1,307,"Acacia dealbata","VCC",5,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,307,"Acacia dealbata","VSC",5,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,307,"Acacia dealbata","IAVC",5,21,"-","-","0.0004584","-0.00000043441","-","-","-"
1,307,"Acacia dealbata","VLE",5,12,"-","-","-","-","0.0016601","1.77360","-"
1,8,"Phillyrea latifolia","VCC",2,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,8,"Phillyrea latifolia","VSC",2,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,8,"Phillyrea latifolia","IAVC",2,19,"4.20171","-0.0846579","0.0005656","-0.00000066378","-","-","-"
1,8,"Phillyrea latifolia","VLE",2,12,"-","-","-","-","0.0016601","1.77360","-"
1,8,"Phillyrea latifolia","VCC",3,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,8,"Phillyrea latifolia","VSC",3,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,8,"Phillyrea latifolia","IAVC",3,19,"4.20171","-0.0846579","0.0005656","-0.00000066378","-","-","-"
1,8,"Phillyrea latifolia","VLE",3,12,"-","-","-","-","0.0016601","1.77360","-"
1,8,"Phillyrea latifolia","VCC",5,11,"-","-","-","-","0.0004732","1.98799","0.75629"
1,8,"Phillyrea latifolia","VSC",5,7,"-4.94000","0.8041761","0.0000186","-","-","-","-"
1,8,"Phillyrea latifolia","IAVC",5,19,"4.20171","-0.0846579","0.0005656","-0.00000066378","-","-","-"
1,8,"Phillyrea latifolia","VLE",5,12,"-","-","-","-","0.0016601","1.77360","-"
1,12,"Malus sylvestris","VCC",4,1,"15.59000","0.0002578","-","-","-","-","-"
1,12,"Malus sylvestris","VSC",4,7,"-4.07000","0.9274491","0.0000026","-","-","-","-"
1,12,"Malus sylvestris","IAVC",4,19,"4.20171","-0.0846579","0.0005656","-0.00000066378","-","-","-"
1,12,"Malus sylvestris","VLE",4,12,"-","-","-","-","0.0016601","1.77360","-"
1,12,"Malus sylvestris","VCC",5,1,"15.59000","0.0002578","-","-","-","-","-"
1,12,"Malus sylvestris","VSC",5,7,"-4.07000","0.9274491","0.0000026","-","-","-","-"
1,12,"Malus sylvestris","IAVC",5,19,"4.20171","-0.0846579","0.0005656","-0.00000066378","-","-","-"
1,12,"Malus sylvestris","VLE",5,12,"-","-","-","-","0.0016601","1.77360","-"
1,14,"Taxus baccata","VCC",2,1,"28.73000","0.0003458","-","-","-","-","-"
1,14,"Taxus baccata","VSC",2,7,"-4.32000","0.7946056","0.0000120","-","-","-","-"
1,14,"Taxus baccata","IAVC",2,19,"8.36699","-0.1772460","0.0014772","-0.00000156548","-","-","-"
1,14,"Taxus baccata","VLE",2,12,"-","-","-","-","0.0001194","2.14645","-"
1,14,"Taxus baccata","VCC",3,1,"28.73000","0.0003458","-","-","-","-","-"
1,14,"Taxus baccata","VSC",3,7,"-4.32000","0.7946056","0.0000120","-","-","-","-"
1,14,"Taxus baccata","IAVC",3,19,"8.36699","-0.1772460","0.0014772","-0.00000156548","-","-","-"
1,14,"Taxus baccata","VLE",3,12,"-","-","-","-","0.0001194","2.14645","-"
1,14,"Taxus baccata","VCC",5,1,"28.73000","0.0003458","-","-","-","-","-"
1,14,"Taxus baccata","VSC",5,7,"-4.32000","0.7946056","0.0000120","-","-","-","-"
1,14,"Taxus baccata","IAVC",5,19,"8.36699","-0.1772460","0.0014772","-0.00000156548","-","-","-"
1,14,"Taxus baccata","VLE",5,12,"-","-","-","-","0.0001194","2.14645","-"
