"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
1,"Araba/Álava",28,"Pinus radiata","IAVC",5,"0",13,58.78173,0.2026514,-337.9099794,0,0,0,0,0.41871
1,"Araba/Álava",45,"Quercus ilex","IAVC",3,"0",21,0,0,6.68e-05,-1.0849e-07,0,0,0,0.5537
1,"Araba/Álava",28,"Pinus radiata","VCC",1,"0",11,0,0,0,0,0.0006785,1.86004,1.01378,0.99633
1,"Araba/Álava",35,"Larix spp.","VSC",1,"0",7,-4.02,0.852034,1.4e-06,0,0,0,0,0.99593
1,"Araba/Álava",2,"Amelanchier ovalis","VSC",5,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
1,"Araba/Álava",255,"Fraxinus excelsior","VCC",5,"0",11,0,0,0,0,0.0011227,1.84869,0.7592,0.90976
1,"Araba/Álava",255,"Fraxinus excelsior","VSC",3,"0",7,-6.18,0.8544607,-5.8e-06,0,0,0,0,0.99463
1,"Araba/Álava",395,"Prunus avium","VSC",1,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
1,"Araba/Álava",476,"Acer opalus","IAVC",2,"0",19,-3.61656,0.0756559,-0.0001873,1.4912e-07,0,0,0,0.27085
1,"Araba/Álava",95,"Prunus spp.","VSC",2,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
1,"Araba/Álava",5,"Euonymus europaeus","VSC",3,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
1,"Araba/Álava",657,"Salix caprea","VLE",5,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
1,"Araba/Álava",92,"Robinia pseudacacia","IAVC",5,"0",17,-4.49265,0.0684335,-4.48e-05,0,0,0,0,0.38588
1,"Araba/Álava",74,"Corylus avellana","IAVC",3,"0",19,-0.51595,0.0355353,-0.0003069,1.05218e-06,0,0,0,0.51541
1,"Araba/Álava",255,"Fraxinus excelsior","VLE",2,"0",12,0,0,0,0,2.71e-05,2.51797,0,0.54735
1,"Araba/Álava",92,"Robinia pseudacacia","VCC",2,"0",11,0,0,0,0,0.0007897,1.93118,0.75169,0.98661
1,"Araba/Álava",2,"Amelanchier ovalis","IAVC",5,"0",19,-0.51595,0.0355353,-0.0003069,1.05218e-06,0,0,0,0.51541
1,"Araba/Álava",378,"Sorbus aucuparia","IAVC",5,"0",19,-0.51595,0.0355353,-0.0003069,1.05218e-06,0,0,0,0.51541
1,"Araba/Álava",657,"Salix caprea","VSC",2,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
1,"Araba/Álava",21,"Pinus sylvestris","VSC",2,"0",7,-6.04,0.7973543,3.98e-05,0,0,0,0,0.9958
1,"Araba/Álava",54,"Alnus glutinosa","VSC",3,"0",7,-0.79,0.8039236,2.27e-05,0,0,0,0,0.99437
1,"Araba/Álava",3,"Frangula alnus","VLE",5,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
1,"Araba/Álava",57,"Salix spp.","VSC",3,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
1,"Araba/Álava",276,"Acer monspessulanum","IAVC",3,"0",19,-3.61656,0.0756559,-0.0001873,1.4912e-07,0,0,0,0.27085
1,"Araba/Álava",28,"Pinus radiata","IAVC",1,"0",13,58.78173,0.2026514,-337.9099794,0,0,0,0,0.41871
