Codigo_IFN,Nombre_Especie,Ambito_de_aplicacion,Origen,Arborea_Matorral,Grupo,Hoja
7102,Erica umbellata,Nacional,IFN4_MFE25,MATO,,
7103,Colutea arborescens,Nacional,IFN4_MFE25,MATO,,
7104,Dorycnium spp.,Nacional,IFN4_MFE25,MATO,,
7155,Genista umbellata,Nacional,IFN4_MFE25,MATO,,
8005,Emerus major,Provincia de Barcelona,IFN4_MFE25,MATO,,
8007,Medicago arborea,Provincia de Barcelona,IFN4_MFE25,MATO,,
8010,Rhododendron ferrugineum,Provincia de Barcelona,IFN4_MFE25,MATO,,
8101,Cistus laurifolius,Nacional,IFN4_MFE25,MATO,,
8102,Erica ciliaris,Nacional,IFN4_MFE25,MATO,,
8103,Sarothamnus scoparius,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
8104,Ononis spp.,Nacional,IFN4_MFE25,MATO,,
8155,Genista cinerea,Nacional,IFN4_MFE25,MATO,,
9006,Echinospartum horridum,Provincia de Tarragona,IFN4_MFE25,MATO,,
9071,Buxus balearica,Comunidad autónoma de Islas Baleares/Illes Balears,IFN4_MFE25,MATO,,
9100,Buxus sempervirens,Nacional,IFN4_MFE25,MATO,,
9102,Erica erigena,Nacional,IFN4_MFE25,MATO,,
9103,Spartium junceum,Nacional,IFN4_MFE25,MATO,,
9104,Genistella spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
9262,Linum suffruticosum,Comunidad autónoma de La Rioja,IFN4_MFE25,MATO,,
9264,Salvia lavandulifolia,Comunidad autónoma de La Rioja,IFN4_MFE25,MATO,,
9282,Echinospartum barnadesii,Comunidad autónoma de Madrid,IFN4_MFE25,MATO,,
9284,Linum suffruticosum,Comunidad autónoma de Madrid,IFN4_MFE25,MATO,,
9300,Pistacia terebinthus,Nacional,IFN4_MFE25,MATO,,
